accession,raw_file_count,total_file_count,title,submission_type,submission_date,publication_date,project_url
PXD000715,2,5,Phosphoproteome of filamentous fungus  Aspergillus nidulans,PARTIAL,2014-01-28,2014-11-18,https://www.ebi.ac.uk/pride/archive/projects/PXD000715
PXD000790,2,19,PIA - Mouse Benchmark Dataset -  PIA - An intuitive protein inference engine with a web-based user interface,COMPLETE,2015-02-03,2015-05-08,https://www.ebi.ac.uk/pride/archive/projects/PXD000790
PXD000795,2,4,Identification of full length Hsp90 from Giardia lamblia cell lysate,PARTIAL,2014-03-05,2016-07-09,https://www.ebi.ac.uk/pride/archive/projects/PXD000795
PXD000807,2,10,Human oral cancer brush biopsy iTRAQ,COMPLETE,2014-03-10,2014-05-07,https://www.ebi.ac.uk/pride/archive/projects/PXD000807
PXD000881,2,6,Identification of Drosophila USP2 partners,COMPLETE,2014-04-08,2014-07-18,https://www.ebi.ac.uk/pride/archive/projects/PXD000881
PXD000909,2,3,Silkworm testis LC-MS/MS -  Proteomics analysis of adult testis from Bombyx mori,PARTIAL,2014-04-16,2014-07-28,https://www.ebi.ac.uk/pride/archive/projects/PXD000909
PXD000924,2,7,Vibrio parahaemolyticus LC-MS/MS,COMPLETE,2014-04-23,2017-08-23,https://www.ebi.ac.uk/pride/archive/projects/PXD000924
PXD000937,2,4,Mariprofundus ferroooxydans PV-1 osmotic shock vs extraction with NaOH LC-MSMS,PARTIAL,2014-04-29,2014-05-13,https://www.ebi.ac.uk/pride/archive/projects/PXD000937
PXD000998,2,7,Gastric cancer_iTRAQ -  Integrating transcriptomics and proteomics to show that tanshinone IIA suppresses cell growth by blocking glucose metabolism in gastric cancer cells,COMPLETE,2014-05-23,2016-07-08,https://www.ebi.ac.uk/pride/archive/projects/PXD000998
PXD001004,2,13,Identification of LMTK3 protein by LC/MS/MS Analysis of 1D SDS PAGE Gel Bands,COMPLETE,2014-05-23,2022-02-22,https://www.ebi.ac.uk/pride/archive/projects/PXD001004
PXD001046,2,6,Comparative proteomics analysis of superior and inferior spikelets in hybrid rice during grain filling and response of inferior spikelets to drought stress using isobaric tags for relative and absolute quantification,PARTIAL,2014-06-09,2015-08-05,https://www.ebi.ac.uk/pride/archive/projects/PXD001046
PXD001217,2,6,Snake venom serine proteinases specificity mapping by proteomic identification of cleavage sites,PARTIAL,2014-08-15,2014-10-30,https://www.ebi.ac.uk/pride/archive/projects/PXD001217
PXD001249,2,8,SNW1 is required for sister chromatid cohesion,COMPLETE,2014-08-20,2016-06-29,https://www.ebi.ac.uk/pride/archive/projects/PXD001249
PXD001255,2,5,Sequential elution interactome analysis of Mind bomb 1 and a novel role in dendritic spine outgrowth,PARTIAL,2014-08-22,2016-07-06,https://www.ebi.ac.uk/pride/archive/projects/PXD001255
PXD001310,2,8,Polysome pellet digests - identification of proteins in polysome pellet with and without silvestrol treatment,COMPLETE,2014-09-12,2014-09-16,https://www.ebi.ac.uk/pride/archive/projects/PXD001310
PXD001384,2,50,Rod-derived Cone Viability Factor,COMPLETE,2014-10-07,2016-06-15,https://www.ebi.ac.uk/pride/archive/projects/PXD001384
PXD001439,2,6,Mariprofundus ferrooxydans proteomic profile - membrane,PARTIAL,2014-10-28,2015-06-22,https://www.ebi.ac.uk/pride/archive/projects/PXD001439
PXD001499,2,6,"1D-DDA of human diploid fibroblasts, TIG-3 cells",COMPLETE,2014-11-17,2016-12-06,https://www.ebi.ac.uk/pride/archive/projects/PXD001499
PXD001529,2,4,Proteomic characterization of the role of Snail1 in the differentiation of 3T3-L1 fibroblasts,PARTIAL,2014-11-24,2015-01-06,https://www.ebi.ac.uk/pride/archive/projects/PXD001529
PXD001711,2,5,Casein kinase 2 (CK2) phosphorylates the deubiquitylase OTUB1 at Ser16 to trigger its nuclear localisation.,PARTIAL,2015-01-21,2015-04-15,https://www.ebi.ac.uk/pride/archive/projects/PXD001711
PXD001762,2,10,"MoCBP3, an Antifungal Chitin-Binding Protein from Moringa oleifera Seeds, is a Member of the 2S Albumin Family",COMPLETE,2015-02-04,2016-05-25,https://www.ebi.ac.uk/pride/archive/projects/PXD001762
PXD001785,2,8,Gel-free based nano LC-MS/MS analysis of green rice leafhopper saliva,PARTIAL,2015-02-05,2016-05-25,https://www.ebi.ac.uk/pride/archive/projects/PXD001785
PXD001863,2,8,"Identification of myristoylated proteins in Human cell lines (HEK293, HeLa, MCF7)",PARTIAL,2015-03-06,2015-03-30,https://www.ebi.ac.uk/pride/archive/projects/PXD001863
PXD001895,2,10,Soybean Suspension culture analysis,COMPLETE,2015-03-10,2022-02-22,https://www.ebi.ac.uk/pride/archive/projects/PXD001895
PXD002075,2,10,ESCRTIII-associated protein AtALIX mediates high affinity phosphate transporter trafficking to maintain phosphate homeostasis in Arabidopsis,COMPLETE,2015-04-17,2015-09-09,https://www.ebi.ac.uk/pride/archive/projects/PXD002075
PXD002076,2,7,A piRNA like small RNA interacts with and modulates p-ERM proteins in human somatic cells,PARTIAL,2015-09-03,2015-09-03,https://www.ebi.ac.uk/pride/archive/projects/PXD002076
PXD002133,2,22,Identifying Kinase Substrates via a Heavy ATP Kinase Assay and Quantitative Mass Spectrometry,PARTIAL,2015-05-01,2018-10-17,https://www.ebi.ac.uk/pride/archive/projects/PXD002133
PXD002190,2,4,C. elegans SGK-1 IP-MS -  Serum- and Glucocorticoid-Inducible Kinase-1 (SGK-1) Plays a Role in Membrane Trafficking in Caenorhabditis elegans,PARTIAL,2015-05-18,2015-06-29,https://www.ebi.ac.uk/pride/archive/projects/PXD002190
PXD002208,2,6,O-GlcNAc proteome of invasive ductal breast carcinomas,PARTIAL,2015-05-20,2015-09-22,https://www.ebi.ac.uk/pride/archive/projects/PXD002208
PXD002231,2,4,PTSD mouse brain proteome -  Fluoxetine Treatment Rescues Energy Metabolism Pathway Alterations in a Posttraumatic Stress Disorder Mouse Model,PARTIAL,2015-05-26,2018-10-17,https://www.ebi.ac.uk/pride/archive/projects/PXD002231
PXD002292,2,8,Characterization of secretomes from brain microvascular endothelial cells after ischemia,COMPLETE,2015-06-02,2016-01-21,https://www.ebi.ac.uk/pride/archive/projects/PXD002292
PXD002307,2,8,Barley flag leaf LC-MS/MS -  Proteomic comparison of near-isogenic barley (Hordeum vulgare L,PARTIAL,2015-06-05,2017-02-08,https://www.ebi.ac.uk/pride/archive/projects/PXD002307
PXD002498,2,8,Quantitative proteomics in osteoblasts-released matrix vesicles,PARTIAL,2015-09-25,2015-11-30,https://www.ebi.ac.uk/pride/archive/projects/PXD002498
PXD002705,2,5,E.coli NrdR Expression and LC-MSMS,PARTIAL,2015-08-12,2016-06-27,https://www.ebi.ac.uk/pride/archive/projects/PXD002705
PXD002719,2,4,Quantitative proteomic analysis of duck lung tissue during infection of avian influenza,PARTIAL,2015-08-13,2022-08-22,https://www.ebi.ac.uk/pride/archive/projects/PXD002719
PXD002743,2,4,DUSP2 dephosphorylates STAT3 at Y705 and S727 residues,PARTIAL,2015-08-17,2015-10-13,https://www.ebi.ac.uk/pride/archive/projects/PXD002743
PXD002779,2,4,Rescuing discarded spectra: Full comprehensive analysis of a minimal proteome.,PARTIAL,2015-08-24,2016-01-05,https://www.ebi.ac.uk/pride/archive/projects/PXD002779
PXD002848,2,5,Genomic and Proteomic Studies on the Mode of Action of Oxaboroles against the African Trypanosome,PARTIAL,2015-09-04,2015-11-25,https://www.ebi.ac.uk/pride/archive/projects/PXD002848
PXD002888,2,11,Construction and analysis of the testis/sperm-enriched interaction network: identification of potential PPP1CC2 complexes as targets for male contraception,COMPLETE,2015-09-10,2022-02-28,https://www.ebi.ac.uk/pride/archive/projects/PXD002888
PXD002930,2,14,Proteome of Microcystis aeruginosa PCC7806 in continuous growth conditions under iron stress,PARTIAL,2015-09-17,2017-12-06,https://www.ebi.ac.uk/pride/archive/projects/PXD002930
PXD003125,2,9,Protein stable isotope fingerprinting (P-SIF): Mahoney Lake (Canada) 7-m biomass,PARTIAL,2015-10-30,2015-11-10,https://www.ebi.ac.uk/pride/archive/projects/PXD003125
PXD003139,2,8,Two unrelated 8-vinyl reductases ensure production of mature chlorophylls in Acaryochloris marina,COMPLETE,2015-11-03,2020-05-26,https://www.ebi.ac.uk/pride/archive/projects/PXD003139
PXD003226,2,6,Proteomic analysis of purified human centrosomes,COMPLETE,2015-11-23,2015-12-16,https://www.ebi.ac.uk/pride/archive/projects/PXD003226
PXD003313,2,6,Identify Novel Iron–Transporting Proteins in Streptococcus pneumoniae,PARTIAL,2015-12-09,2018-10-26,https://www.ebi.ac.uk/pride/archive/projects/PXD003313
PXD003364,2,10,S. japonicum exosome-like vesicles LC-MS/MS,COMPLETE,2017-12-01,2018-10-27,https://www.ebi.ac.uk/pride/archive/projects/PXD003364
PXD003433,2,4,NELF-A phosphorylation site identification,PARTIAL,2016-01-07,2016-03-23,https://www.ebi.ac.uk/pride/archive/projects/PXD003433
PXD003455,2,4,Zebrafish embryo Kac -  Global proteomic analysis of lysine acetylation in zebrafish (Danio rerio) embryos,PARTIAL,2016-01-13,2016-10-10,https://www.ebi.ac.uk/pride/archive/projects/PXD003455
PXD003689,2,4,A proteome analysis of freezing tolerance in red clover (Trifolium pratense L.),PARTIAL,2016-02-25,2016-03-15,https://www.ebi.ac.uk/pride/archive/projects/PXD003689
PXD003806,2,11,Mps1(Mph1) Kinase phosphorylates Mad3 to Inhibit Cdc20Slp1 –APC/C and maintain spindle checkpoint arrests,COMPLETE,2016-03-18,2016-03-31,https://www.ebi.ac.uk/pride/archive/projects/PXD003806
PXD003810,2,4,HHV5 glycoprotein H characterization,PARTIAL,2016-03-18,2016-07-28,https://www.ebi.ac.uk/pride/archive/projects/PXD003810
PXD003833,2,4,HERV protease specificity -  Identification of Protease Specificity by Combining Proteome-Derived Peptide Libraries and Quantitative Proteomics,PARTIAL,2016-04-07,2016-05-02,https://www.ebi.ac.uk/pride/archive/projects/PXD003833
PXD003880,2,18,Xilmass: a new approach towards the identification of cross-linked peptides,PARTIAL,2016-07-25,2016-09-27,https://www.ebi.ac.uk/pride/archive/projects/PXD003880
PXD003923,2,6,Identification of A. thaliana 2-Cys peroxiredoxins interacting proteins,COMPLETE,2016-04-07,2016-10-11,https://www.ebi.ac.uk/pride/archive/projects/PXD003923
PXD003941,2,8,Automated SDS depletion for mass spectrometry of membrane proteins through transmembrane electrophoresis,COMPLETE,2016-04-12,2016-07-07,https://www.ebi.ac.uk/pride/archive/projects/PXD003941
PXD004007,2,6,Phosphoproteome profiling reveals molecular mechanisms of growth factor mediated kinase inhibitor resistance in cancer cells,PARTIAL,2016-04-19,2022-03-01,https://www.ebi.ac.uk/pride/archive/projects/PXD004007
PXD004515,2,6,Is transthyretin a regulator of Ubc9 SUMOylation?,PARTIAL,2016-07-05,2016-08-15,https://www.ebi.ac.uk/pride/archive/projects/PXD004515
PXD004517,2,14,Extracellular Vesicles (EVs) fromTHP1 macrophages upon C.albicans interaction,COMPLETE,2016-07-05,2022-02-28,https://www.ebi.ac.uk/pride/archive/projects/PXD004517
PXD004558,2,4,SWATH-MS Analysis of Striatal Synaptic Mitochondria from Pink1 KO rats,PARTIAL,2016-07-12,2016-09-28,https://www.ebi.ac.uk/pride/archive/projects/PXD004558
PXD004566,2,4,Membrane-bound electron transport systems of an anammox bacterium: a complexome analysis,PARTIAL,2016-07-13,2019-10-29,https://www.ebi.ac.uk/pride/archive/projects/PXD004566
PXD004631,2,5,Mitochondrial CaMKII phosphoproteome.,PARTIAL,2016-07-21,2020-07-31,https://www.ebi.ac.uk/pride/archive/projects/PXD004631
PXD004696,2,4,Comprehensive identification of proteins expressed by human oligodendroglia cell line,PARTIAL,2016-08-01,2017-09-27,https://www.ebi.ac.uk/pride/archive/projects/PXD004696
PXD004761,2,15,Ubiquitylated-Rpn10 -  Structure of ubiquitylated-Rpn10 provides insight into its autoregulation mechanism,PARTIAL,2016-08-11,2018-10-26,https://www.ebi.ac.uk/pride/archive/projects/PXD004761
PXD004891,2,3,Quantitative phosphoproteomic analysis of mouse N2a cells,PARTIAL,2016-11-21,2018-10-26,https://www.ebi.ac.uk/pride/archive/projects/PXD004891
PXD004924,2,5,Identification of autophosphorylationsites in recombinant Saccharomyces cerevisiae Ire1,PARTIAL,2016-09-12,2017-06-09,https://www.ebi.ac.uk/pride/archive/projects/PXD004924
PXD004941,2,4,Integrative analysis of proteome and ubiquitylome reveals unique features of protein ubiquitylation and mitochondria in gefitinib resistant non-small cell lung cancer cells,PARTIAL,2016-09-12,2018-07-05,https://www.ebi.ac.uk/pride/archive/projects/PXD004941
PXD005003,2,196,Flax cell wall proteome -  A cell wall proteome and targeted cell wall analyses provide novel information on hemicellulose metabolism in flax,COMPLETE,2017-05-03,2017-07-19,https://www.ebi.ac.uk/pride/archive/projects/PXD005003
PXD005043,2,9,Discovery of Novel Antimicrobial Peptides from Varanus komodoensis (Komodo dragon) by Large Scale Analyses and De Novo Assisted Sequencing using Electron Transfer Dissociation Mass Spectrometry,PARTIAL,2016-09-27,2017-02-08,https://www.ebi.ac.uk/pride/archive/projects/PXD005043
PXD005118,2,4,Comparing search algorithms -  Visualizing and comparing results of different peptide identification methods,PARTIAL,2016-10-11,2017-01-02,https://www.ebi.ac.uk/pride/archive/projects/PXD005118
PXD005139,2,3,Podocyte degradomics -  N-Degradomic Analysis Reveals a Proteolytic Network Processing the Podocyte Cytoskeleton,PARTIAL,2016-10-13,2017-07-20,https://www.ebi.ac.uk/pride/archive/projects/PXD005139
PXD005265,2,11,Colistin resistance in Acinetobacter baumannii MDR-ZJ06 revealed by a multiomics approach,COMPLETE,2016-11-03,2017-03-15,https://www.ebi.ac.uk/pride/archive/projects/PXD005265
PXD005404,2,21,Comparative proteomic analysis of hemolymph from uninfected and Candidatus Liberibacter asiaticus-infected Diaphorina citri,COMPLETE,2016-11-21,2017-01-18,https://www.ebi.ac.uk/pride/archive/projects/PXD005404
PXD005470,2,5,Proteomes and Ubiquitylomes Analysis Reveals the Involvement of Ubiquitination in Protein Degradation,PARTIAL,2016-11-30,2020-03-20,https://www.ebi.ac.uk/pride/archive/projects/PXD005470
PXD005471,2,6,Na2CO3-responsive phosphoproteins in Puccinellia tenuiflora leaves,PARTIAL,2016-11-30,2021-08-30,https://www.ebi.ac.uk/pride/archive/projects/PXD005471
PXD005487,2,4,Proteome of Hypoxic  Glioblastoma Cells,PARTIAL,2016-12-02,2017-09-12,https://www.ebi.ac.uk/pride/archive/projects/PXD005487
PXD005534,2,6,Middle Pleistocene protein sequences from the rhinoceros genus Stephanorhinus and the phylogeny of extant and extinct Middle/Late Pleistocene Rhinocerotidae.,PARTIAL,2016-12-09,2017-02-02,https://www.ebi.ac.uk/pride/archive/projects/PXD005534
PXD005543,2,8,Identification of down-regulated proteins in TPD affected rubber tree (Hevea brasiliensis Muell. Arg.) by MALDI-TOF MS/MS analysis,PARTIAL,2016-12-12,2016-12-24,https://www.ebi.ac.uk/pride/archive/projects/PXD005543
PXD005696,2,13,"Proteomics of Matrigel, LC-MS/MS",COMPLETE,2017-01-12,2018-10-26,https://www.ebi.ac.uk/pride/archive/projects/PXD005696
PXD005697,2,13,"Proteomics of tissue matrix scaffold derived from decellularized mice mammary tissues, LC-MS/MS",COMPLETE,2017-01-12,2018-10-26,https://www.ebi.ac.uk/pride/archive/projects/PXD005697
PXD005699,2,10,Application of carbohydrate arrays coupled with mass spectrometry to detect activity of plant-polysaccharide degradative enzymes from the fungus Aspergillus niger,COMPLETE,2017-01-12,2018-10-26,https://www.ebi.ac.uk/pride/archive/projects/PXD005699
PXD005722,2,9,LC-MS/MS IP_DDR1 - Determine the relative abundance of proteins that associate with DDR1 when cells with different expression levels of DDR1 and lacking beta 1 integrins are cultured on collagen or on fibronectin,COMPLETE,2017-01-16,2017-02-03,https://www.ebi.ac.uk/pride/archive/projects/PXD005722
PXD005740,2,10,CALCIUM-DEPENDENT PROTEOLYSIS OF THE ARABIDOPSIS DAMP PRECURSOR PROPEP1 BY THE CYSTEINE PROTEASE METACASPASE4 REVEALS A CONSERVED MECHANISM FOR IMMEDIATE RELEASE OF PEPTIDE SIGNALS DURING WOUND RESPONSES,COMPLETE,2017-01-18,2019-04-23,https://www.ebi.ac.uk/pride/archive/projects/PXD005740
PXD005798,2,38,Quantitative chemical proteomic analysis of YnMyr-tagged proteins in HeLa cells infected with RV16,COMPLETE,2017-01-28,2018-05-09,https://www.ebi.ac.uk/pride/archive/projects/PXD005798
PXD005803,2,5,Large-scale phosphoproteomics reveals Shp-2 phosphatase-dependent regulators of Pdgf-receptor signaling,PARTIAL,2018-03-05,2018-03-07,https://www.ebi.ac.uk/pride/archive/projects/PXD005803
PXD005908,2,10,Proteomic Identification of Cereal Grains Associated with Archaeological Artefacts,COMPLETE,2017-02-10,2017-08-04,https://www.ebi.ac.uk/pride/archive/projects/PXD005908
PXD006013,2,8,SILAC analysis of relative protein abundance in nuclei - PRF168 and PRF167,COMPLETE,2017-03-03,2017-07-07,https://www.ebi.ac.uk/pride/archive/projects/PXD006013
PXD006014,2,8,SILAC analysis of relative protein abundance in cytosol - AG3258 and AG11498,COMPLETE,2017-03-03,2017-07-07,https://www.ebi.ac.uk/pride/archive/projects/PXD006014
PXD006060,2,7,"Chinese Hamster Ovary cell proteins co-purified with recombinant HIV-1 envelopes, part 1",PARTIAL,2017-03-09,2017-09-04,https://www.ebi.ac.uk/pride/archive/projects/PXD006060
PXD006061,2,7,"Chinese Hamster Ovary cell proteins co-purified with recombinant HIV-1 envelopes, part 2",PARTIAL,2017-03-09,2017-09-04,https://www.ebi.ac.uk/pride/archive/projects/PXD006061
PXD006062,2,7,"Chinese Hamster Ovary cell proteins co-purified with recombinant HIV-1 envelopes, part 3",PARTIAL,2017-03-09,2017-09-04,https://www.ebi.ac.uk/pride/archive/projects/PXD006062
PXD006063,2,7,"Chinese Hamster Ovary cell proteins co-purified with recombinant HIV-1 envelopes, part 4",PARTIAL,2017-03-09,2017-09-04,https://www.ebi.ac.uk/pride/archive/projects/PXD006063
PXD006087,2,4,Astrocyte-shed extracellular vesicles regulate the peripheral leukocyte response to inflammatory brain lesions,PARTIAL,2017-03-14,2018-10-26,https://www.ebi.ac.uk/pride/archive/projects/PXD006087
PXD006108,2,8,Predictive biomarkers of sperm quality in sturgeon spermatozoa,COMPLETE,2017-03-17,2017-10-31,https://www.ebi.ac.uk/pride/archive/projects/PXD006108
PXD006156,2,11,RNF8 mediates NONO degradation following UV-induced DNA damage to properly terminate ATR-CHK1 checkpoint signaling,COMPLETE,2017-03-22,2018-11-07,https://www.ebi.ac.uk/pride/archive/projects/PXD006156
PXD006269,2,3,HCMV pentamer - Identification of protein interacting with gHgLpUL128,PARTIAL,2017-08-03,2018-07-27,https://www.ebi.ac.uk/pride/archive/projects/PXD006269
PXD006337,2,6,Human platelet LC-MSMS,PARTIAL,2017-04-19,2022-03-07,https://www.ebi.ac.uk/pride/archive/projects/PXD006337
PXD006400,2,7,OVA N-glycans PGC-LC-MSMS -  Large-scale identification and visualization of N-glycans with primary structures using GlySeeker,PARTIAL,2017-04-28,2019-01-17,https://www.ebi.ac.uk/pride/archive/projects/PXD006400
PXD006503,2,10,NOVEL ROLE OF FATTY ACID SYNTHASE IN ANGIOGENESIS THROUGH MODULATION OF LYSINE MALONYLATION OF MTOR,COMPLETE,2017-05-12,2019-07-08,https://www.ebi.ac.uk/pride/archive/projects/PXD006503
PXD006603,2,5,Multifaceted disruption to cholesterol homeostasis upon loss of the mEMC,PARTIAL,2017-05-26,2019-01-02,https://www.ebi.ac.uk/pride/archive/projects/PXD006603
PXD006741,2,5,SPARTAN Protease and Checkpoint Kinase 1 Cross-Activation Loop Safeguards Genome Stability,PARTIAL,2017-06-19,2019-11-08,https://www.ebi.ac.uk/pride/archive/projects/PXD006741
PXD006769,2,12,Phosphotyrosine profiling of in vivo signaling changes in erlotinib-treated glioblastoma flank xenografts,COMPLETE,2017-06-21,2018-11-06,https://www.ebi.ac.uk/pride/archive/projects/PXD006769
PXD006827,2,4,TOM core complex -  Cryo-EM Structure of the TOM Core Complex from Neurospora crassa,PARTIAL,2017-06-29,2017-08-16,https://www.ebi.ac.uk/pride/archive/projects/PXD006827
PXD006856,2,14,Naa80 acetylates the actin N-terminus impacting the actin cytoskeleton and cell motility,PARTIAL,2017-07-03,2018-10-24,https://www.ebi.ac.uk/pride/archive/projects/PXD006856
PXD006884,2,5,Structural determinants of specificity and antagonistic Ca2+ and Zn2+ regulation of peptidase activity in human KLK8/neuropsin,PARTIAL,2017-07-06,2018-10-17,https://www.ebi.ac.uk/pride/archive/projects/PXD006884
PXD007096,2,10,A Tandem Mass Tag (TMT) proteomic analysis during the early phase of experimental pancreatitis,PARTIAL,2017-07-21,2018-05-22,https://www.ebi.ac.uk/pride/archive/projects/PXD007096
PXD007118,2,5,Abl subtrates using tyrosine phosphoproteomics,PARTIAL,2017-07-25,2018-03-16,https://www.ebi.ac.uk/pride/archive/projects/PXD007118
PXD007133,2,10,Succinylome analysis of pCAR1-free and pCAR1-harbouring Pseudomonas putida KT2440.,PARTIAL,2017-09-11,2018-11-21,https://www.ebi.ac.uk/pride/archive/projects/PXD007133
PXD007136,2,4,YBX3 controls amino acid import via post-transcriptional regulation of Solute Carrier mRNAs,PARTIAL,2017-07-26,2022-03-01,https://www.ebi.ac.uk/pride/archive/projects/PXD007136
PXD007243,2,3,Comprehensive profiling of lysine ubiquitome reveals diverse functions of lysine ubiquitination in common wheat,PARTIAL,2017-08-10,2017-11-01,https://www.ebi.ac.uk/pride/archive/projects/PXD007243
PXD007273,2,4,Single-shot top-down proteomics with capillary zone electrophoresis-electrospray ionization-tandem mass spectrometry for identification of nearly 600 Escherichia coli proteoforms,PARTIAL,2017-08-15,2017-10-30,https://www.ebi.ac.uk/pride/archive/projects/PXD007273
PXD007287,2,10,UPLC-MS/MS of YAP co-IP during activating and inactivating plating conditions,COMPLETE,2017-08-17,2019-11-21,https://www.ebi.ac.uk/pride/archive/projects/PXD007287
PXD007628,2,6,MHC II immunopeptidome during Plasmodium berghei blood stage infection,PARTIAL,2017-09-01,2017-09-20,https://www.ebi.ac.uk/pride/archive/projects/PXD007628
PXD007629,2,3,Characterisation of the biflavonoid hinokiflavone as a pre-mRNA splicing modulator that inhibits SENP,PARTIAL,2017-09-01,2017-09-07,https://www.ebi.ac.uk/pride/archive/projects/PXD007629
PXD007638,2,4,Confirmation of ZAK as covalent target of Ibrutinib,PARTIAL,2017-09-04,2017-10-13,https://www.ebi.ac.uk/pride/archive/projects/PXD007638
PXD007687,2,4,Acetylome analysis of Streptococcus pneumoniae,PARTIAL,2017-09-12,2018-01-29,https://www.ebi.ac.uk/pride/archive/projects/PXD007687
PXD007693,2,3,EuPA YPIC challenge entry - proteome data analysis ,PARTIAL,2017-09-08,2019-10-29,https://www.ebi.ac.uk/pride/archive/projects/PXD007693
PXD007769,2,6,SILAC-based quantitative tyrosine phosphoproteomic profiling identifies alternative therapeutic targets to erlotinib in head and neck squamous cell carcinoma,PARTIAL,2017-09-18,2022-10-13,https://www.ebi.ac.uk/pride/archive/projects/PXD007769
PXD007773,2,24,"Experiment 03: Macaca mulatta infected with Plasmodium coatneyi Hackeri strain to produce and integrate clinical, hematological, parasitological, and omics measures of acute, recrudescent, and chronic infections.",PARTIAL,2019-03-11,2019-03-13,https://www.ebi.ac.uk/pride/archive/projects/PXD007773
PXD007774,2,27,"Experiment 04: Macaca mulatta infected with Plasmodium cynomolgi B strain to produce and integrate clinical, hematological, parasitological, and omics measures of acute primary infection and relapses.",PARTIAL,2019-03-11,2019-03-13,https://www.ebi.ac.uk/pride/archive/projects/PXD007774
PXD007864,2,8,AP-MS analysis of CobB interactions in E. coli,COMPLETE,2017-09-28,2017-10-04,https://www.ebi.ac.uk/pride/archive/projects/PXD007864
PXD007872,2,4,MELK promotes melanoma growth by stimulating the NF-B pathway,PARTIAL,2017-09-29,2017-12-07,https://www.ebi.ac.uk/pride/archive/projects/PXD007872
PXD007897,2,5,phospho HMMR Co-Immunoprecipitation,PARTIAL,2017-10-03,2017-10-09,https://www.ebi.ac.uk/pride/archive/projects/PXD007897
PXD007905,2,4,Microplitis mediator venom protein LC-MSMS,PARTIAL,2017-10-04,2019-01-07,https://www.ebi.ac.uk/pride/archive/projects/PXD007905
